Sign,H1 FingerSelection,H1 Aperture,H1 Curve,H1 Bent,H1 Facing,H1 Focus,H1 Width,Dynamic Orientation,Location,Plane,Settings,Path,H2 FingerSelection,H2 Aperture,H2 Curve,H2 Bent,H2 Width,H2 Facing,H2 Focus,Manner,url,labeled_url
думать,1-st,"",straight,straight,palm,tips,pointed,"",head-high,horisontal,far-near,sraight,"","","","","",back,"",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//3384--полагать--полагать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//3384--полагать--полагать.mp4?raw=true' target='_blank'>думать</a>
прикладывать,1-st,"",straight,straight,back,ulnar,pointed,"",hand-classifier,horisontal,near-far,sraight,1-st,open,straight,straight,pointed,back,"",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3432--прикладывать--прикладывать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3432--прикладывать--прикладывать.mp4?raw=true' target='_blank'>прикладывать</a>
нападать,1-st,"",straight,straight,palm,tips,wide,"",space,horisontal,ipsi-contra,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3434--нападать--нападать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3434--нападать--нападать.mp4?raw=true' target='_blank'>нападать</a>
посещать,1-st,"",curved,"",palm,tips,wide,"",hand-back,horisontal,x-y,arc,"","","","","","","","",https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3437--посещать--посещать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3437--посещать--посещать.mp4?raw=true' target='_blank'>посещать</a>
видно,1-st,"",straight,bent,palm,tips,wide,"",head-high,"",far-near,sraight,"","","","","","","",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3446--привлекать--привлекать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3446--привлекать--привлекать.mp4?raw=true' target='_blank'>видно</a>
dem,2-nd,"",straight,bent,palm,tips,pointed,"",trunk,horisontal,far-near,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3504--быть пригодным--быть пригодным.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3504--быть пригодным--быть пригодным.mp4?raw=true' target='_blank'>dem</a>
мстить,1-st,"",straight,straight,ulnar,back,pointed,"",hand-narrow,sagittal,proxi-distal,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//3510--мстить--мстить.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//3510--мстить--мстить.mp4?raw=true' target='_blank'>мстить</a>
избегать,1-st,"",curved,"",tips,back,wide,prone-neutral,space,horisontal,contra-ipsi,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3518--избегать--избегать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3518--избегать--избегать.mp4?raw=true' target='_blank'>избегать</a>
ожидать,1-st,"",straight,straight,radial,root,pointed,"",trunk,"",high-low,sraight,"","","","","","","",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3520--ожидать--ожидать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3520--ожидать--ожидать.mp4?raw=true' target='_blank'>ожидать</a>
просыпаться,1-st,closed-open,straight,bent,radial,"","","",head-high,"","","","","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3521--просыпаться--просыпаться.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3521--просыпаться--просыпаться.mp4?raw=true' target='_blank'>просыпаться</a>
печь,1-st,"",straight,straight,back,tips,pointed,"",space,horisontal,proxi-distal,sraight,"","","","","","","",repeated,"https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3611--печь, выпекать--печь, выпекать.mp4?raw=true","<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3611--печь, выпекать--печь, выпекать.mp4?raw=true' target='_blank'>печь</a>"
запрещать,1-st,"","","",ulnar,"","","",hand-palm,horisontal,far-near,sraight,"","","","","",back,"",tense,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//3645--запрещать--запрещать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//3645--запрещать--запрещать.mp4?raw=true' target='_blank'>запрещать</a>
крестить,1-st,"",straight,straight,palm,palm,pointed,"",space,horisontal,high-low,sraight,"","","","","","","",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3661--крестить--крестить.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3661--крестить--крестить.mp4?raw=true' target='_blank'>крестить</a>
разрешить,1-st,closed,curved,"",ulnar,tips,"","",space,horisontal,x-y,arc,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3754--разрешить--разрешить.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3754--разрешить--разрешить.mp4?raw=true' target='_blank'>разрешить</a>
называть,1-st,"",straight,straight,tips,radial,"","",hand-classifier,horisontal,low-high,sraight,thumb,"","","","",ulnar,"",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3756--называть--.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3756--называть--.mp4?raw=true' target='_blank'>называть</a>
терпеть,1-st,"",straight,straight,root,ulnar,pointed,"",trunk,"",high-low,sraight,"","","","","","","",tense,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3773--терпеть--.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3773--терпеть--.mp4?raw=true' target='_blank'>терпеть</a>
клянчить,1-st,"",straight,bent,back,tips,pointed,"",space,horisontal,proxi-distal,vawe,"","","","","","","",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3814--клянчить--.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3814--клянчить--.mp4?raw=true' target='_blank'>клянчить</a>
начинать,1-st,"",straight,straight,radial,tips,"","",hand-palm,parallel,low-high,sraight,"","","","","",palm,"","",https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3815--начинать--.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3815--начинать--.mp4?raw=true' target='_blank'>начинать</a>
принадлежать,1-st,"",straight,straight,palm,tips,pointed,prone-neutral,space,horisontal,x-y,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3835--принадлежать--.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3835--принадлежать--.mp4?raw=true' target='_blank'>принадлежать</a>
пристегиваться,1-st,open,curved,"",palm,tips,"","",trunk,"",ipsi-contra,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3841--пристегиваться--.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3841--пристегиваться--.mp4?raw=true' target='_blank'>пристегиваться</a>
 спорить,1-st,"",straight,straight,tips,radial,"","",space,sagittal,low-high,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3857--спорить--.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3857--спорить--.mp4?raw=true' target='_blank'> спорить</a>
предавать,1-st,"",straight,straight,"","","",prone-neutral,head-mid,"","","","","","","","","","","",https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3862--предавать--.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3862--предавать--.mp4?raw=true' target='_blank'>предавать</a>
ездить на велосипеде,1-st,"",straight,straight,ulnar,tips,wide,"",space,horisontal,x-y,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3887--ездить на велосипеде--ездить на велосипеде.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3887--ездить на велосипеде--ездить на велосипеде.mp4?raw=true' target='_blank'>ездить на велосипеде</a>
кусать,1-st,open-closed,curved,"",back,tips,wide,"",head-low,"","","","","","","","","","",tense,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3950--кусать--кусать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3950--кусать--кусать.mp4?raw=true' target='_blank'>кусать</a>
вина,1-st,closed,straight,bent,palm,tips,pointed,neutral-prone,head-mid,horisontal,near-far,arc,"","","","","","","",tense,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3973--винить--винить.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3973--винить--винить.mp4?raw=true' target='_blank'>вина</a>
гореть,1-st,"",straight,straight,root,tips,wide,"",space,horisontal,low-high,vawe,"","","","","","","",symmetrical,"https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//3980--гореть, пылать--гореть, пылать.mp4?raw=true","<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//3980--гореть, пылать--гореть, пылать.mp4?raw=true' target='_blank'>гореть</a>"
смешивать,1-st,"",straight,straight,tips,"",wide,"",space,horisontal,"",circle-clock,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3987--смешивать--смешивать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3987--смешивать--смешивать.mp4?raw=true' target='_blank'>смешивать</a>
мигать,1-st,"",straight,straight,palm,"",wide-pointed,"",head-high,"","","","","","","","","","",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3997--мигать--мигать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3997--мигать--мигать.mp4?raw=true' target='_blank'>мигать</a>
блокировка,"","","","",palm,palm,"","",hand-back,horisontal,far-near,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3999--блокировка--блокировка.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3999--блокировка--блокировка.mp4?raw=true' target='_blank'>блокировка</a>
взрывать,"","","","",palm,radial,"","",space,parallel,contra-ipsi,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4025--взрывать--взрывать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4025--взрывать--взрывать.mp4?raw=true' target='_blank'>взрывать</a>
задувать,1-st,open-closed,straight,bent,root,tips,wide-pointed,"",space,horisontal,high-low,vawe,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4026--задувать--задувать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4026--задувать--задувать.mp4?raw=true' target='_blank'>задувать</a>
покраснеть,1-st,"",straight,straight,tips,back,"","",head,"",low-high,sraight,"","","","","","","","",https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4041--покраснеть--покраснеть.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4041--покраснеть--покраснеть.mp4?raw=true' target='_blank'>покраснеть</a>
бомбить,1-st,"",straight,straight,radial,back,"","",hand-classifier,horisontal,low-high,"",1-st,"",straight,straight,"",palm,tips,repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4075--бомбить--бомбить.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4075--бомбить--бомбить.mp4?raw=true' target='_blank'>бомбить</a>
отскакивать,1-st,"",straight-curved,straight,tips,root,wide,"",hand-palm,horisontal,near-far,sraight,"","","","","",back,"",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//4148--отскакивать--отскакивать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//4148--отскакивать--отскакивать.mp4?raw=true' target='_blank'>отскакивать</a>
ограничивать,1-st,"",straight,straight,ulnar,palm,"","",space,horisontal,ipsi-contra,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4150--ограничивать--ограничивать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4150--ограничивать--ограничивать.mp4?raw=true' target='_blank'>ограничивать</a>
сгибать,"","","","","",ulnar,"",prone-neutral,space,sagittal,high-low,"","","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//4158--кланяться--кланяться.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//4158--кланяться--кланяться.mp4?raw=true' target='_blank'>сгибать</a>
поклониться,"","","","",root,"","",neutral-forward,space,horisontal,"","","","","","","","","","",https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//4161--поклониться--поклониться.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//4161--поклониться--поклониться.mp4?raw=true' target='_blank'>поклониться</a>
хвастаться,thumb,"",straight,straight,palm,tips,"","",trunk,"",low-high,sraight,"","","","","","","",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4177--хвастаться--хвастаться.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4177--хвастаться--хвастаться.mp4?raw=true' target='_blank'>хвастаться</a>
расстаться,thumb,"",straight,straight,ulnar,back,"","",space,horisontal,contra-ipsi,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4212--расстаться--расстаться.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4212--расстаться--расстаться.mp4?raw=true' target='_blank'>расстаться</a>
дышать,1-st,"",straight,straight,palm,back,pointed,"",trunk,"",near-far,sraight,"","","","","","","",biderectional,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4223--дышать--дышать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4223--дышать--дышать.mp4?raw=true' target='_blank'>дышать</a>
приносить,1-st,"",straight,straight,back,ulnar,pointed,"",space,horisontal,ipsi-contra,arc,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//4247--приносить--приносить.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//4247--приносить--приносить.mp4?raw=true' target='_blank'>приносить</a>
,1-st,"",straight,straight,palm,ulnar,"","",space,parallel,high-low,arc,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4256--жарить на огне--жарить на огне.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4256--жарить на огне--жарить на огне.mp4?raw=true' target='_blank'>NA</a>
строить,1-st,"",straight,straight,palm,back,pointed,"",space,horisontal,low-high,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4300--строить--строить.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4300--строить--строить.mp4?raw=true' target='_blank'>строить</a>
запугивать,1-st,"",straight,straight,ulnar,tips,"","",space,horisontal,proxi-distal,sraight,"","","","","","","",symmetrical,"https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4327--запугивать, издеваться--запугивать, издеваться.mp4?raw=true","<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4327--запугивать, издеваться--запугивать, издеваться.mp4?raw=true' target='_blank'>запугивать</a>"
гореть,1-st,"",straight,straight,root,tips,wide,"",space,horisontal,low-high,vawe,"","","","","","","",symmetrical,"https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//4350--жечь, гореть--жечь, гореть.mp4?raw=true","<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//4350--жечь, гореть--жечь, гореть.mp4?raw=true' target='_blank'>гореть</a>"
разрыдаться,1-st,closed-open,curved-straight,"",palm,tips,pointed-wide,"",head-high,"",near-far,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4356--разрыдаться--разрыдаться.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4356--разрыдаться--разрыдаться.mp4?raw=true' target='_blank'>разрыдаться</a>
хоронить,1-st,"",curved,bent,palm,back,pointed,"",space,horisontal,high-low,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4357--хоронить--хоронить.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4357--хоронить--хоронить.mp4?raw=true' target='_blank'>хоронить</a>
покупать,1-st,closed,straight,bent,tips,back,pointed,"",hand-palm,horisontal,proxi-distal,sraight,"","","","","",back,"",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//4394--покупать--покупать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//4394--покупать--покупать.mp4?raw=true' target='_blank'>покупать</a>
требовать,1-st,"",straight,straight,tips,tips,"","",space,horisontal,distal-proxi,arc,"","","","","","","",tense,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4433--требовать--требовать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4433--требовать--требовать.mp4?raw=true' target='_blank'>требовать</a>
не мочь,1-st,"",straight,straight,radial,radial,pointed,"",trunk,"",far-near,sraight,"","","","","","","","",https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4475--не мочь--не мочь.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4475--не мочь--не мочь.mp4?raw=true' target='_blank'>не мочь</a>
не мочь,1-st,"",straight,straight,radial,radial,pointed,"",trunk,"",far-near,sraight,"","","","","","","","",https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4488--не мочь--.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4488--не мочь--.mp4?raw=true' target='_blank'>не мочь</a>
капитулировать,1-st,"",straight,straight,"",back,pointed,"",space,parallel,iconic,iconic,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4504--капитулировать--капитулировать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4504--капитулировать--капитулировать.mp4?raw=true' target='_blank'>капитулировать</a>
опрокидывать,"",open-closed,straight,bent,palm,"",wide-pointed,prone-supine,virtual object,horisontal,"","","","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//4507--опрокидывать--опрокидывать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//4507--опрокидывать--опрокидывать.mp4?raw=true' target='_blank'>опрокидывать</a>
забота,1-st,"",curved,bent,palm,palm,wide,"",virtual object,horisontal,far-near,arc,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4545--заботиться о--заботиться о.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4545--заботиться о--заботиться о.mp4?raw=true' target='_blank'>забота</a>
ласкать,1-st,"","",straight-bent,tips,palm,"","",hand-back,horisontal,distal-proxi,sraight,"","","","","",palm,"",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//4554--ласкать--ласкать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//4554--ласкать--ласкать.mp4?raw=true' target='_blank'>ласкать</a>
нести,"","","","",back,root,"","",virtual object,horisontal,low-high,sraight,"","","","","","","",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4575--нести--.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4575--нести--.mp4?raw=true' target='_blank'>нести</a>
швырять,1-st,closed-open,"","",palm,tips,pointed-wide,forward-neutral,space,horisontal,proxi-distal,sraight,"","","","","","","",tense,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//4594--швырять--швырять.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//4594--швырять--швырять.mp4?raw=true' target='_blank'>швырять</a>
менять,1-st,"",straight,straight,"","",wide,prone-supine,space,"","","","","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4712--менять--менять.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4712--менять--менять.mp4?raw=true' target='_blank'>менять</a>
голос,1-st,"",straight,straight,tips,tips,pointed,"",neck,parallel,far-near,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4716--распевать--распевать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4716--распевать--распевать.mp4?raw=true' target='_blank'>голос</a>
преследовать,thumb,"","","",tips,tips,"","",hand-classifier,horisontal,far-near,spiral,thumb,"","","","",ulnar,"",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//4734--преследовать--преследовать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//4734--преследовать--преследовать.mp4?raw=true' target='_blank'>преследовать</a>
болтать,1-st,"",straight,bent-straight,root,tips,wide,"",head-low,horisontal,x-y,"","","","","","","","",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4737--болтать--болтать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4737--болтать--болтать.mp4?raw=true' target='_blank'>болтать</a>
обманывать,1-st,"",straight,straight,palm,tips,"","",hand-narrow,horisontal,x-y,sraight,"","","","","","","","",https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4743--обманывать--обманывать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4743--обманывать--обманывать.mp4?raw=true' target='_blank'>обманывать</a>
выбирать,1-st,closed,curved,"",tips,back,"","",hand-classifier,sagittal,distal-proxi,sraight,1-st,"",straight,straight,pointed,back,"",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//4847--выбирать--выбирать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//4847--выбирать--выбирать.mp4?raw=true' target='_blank'>выбирать</a>
чистить,1-st,"",straight,straight,palm,ulnar,pointed,"",hand-palm,horisontal,proxi-distal,sraight,"","","","","",back,"",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//4924--чистить--чистить.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//4924--чистить--чистить.mp4?raw=true' target='_blank'>чистить</a>
очищать,1-st,"",straight,straight,palm,ulnar,pointed,"",hand-palm,horisontal,proxi-distal,sraight,"","","","","",back,"",tense,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//4929--очищать--очищать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//4929--очищать--очищать.mp4?raw=true' target='_blank'>очищать</a>
карабкаться,1-st,"",curved,straight,palm,tips,wide,"",virtual object,parallel,low-high,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4948--карабкаться--карабкаться.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4948--карабкаться--карабкаться.mp4?raw=true' target='_blank'>карабкаться</a>
совпадать,1-st,"",straight,straight,palm,tips,"","",space,parallel,ipsi-contra,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5056--совпадать--.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5056--совпадать--.mp4?raw=true' target='_blank'>совпадать</a>
рухнуть,1-st,"",straight,straight,back,tips,wide,prone-supine,hand-palm,horisontal,far-near,circle-clock,"","","","","","","","",https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5071--рухнуть--рухнуть.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5071--рухнуть--рухнуть.mp4?raw=true' target='_blank'>рухнуть</a>
приходить,1-st,"",curved,straight,palm,tips,wide,supine-prone,hand-narrow,parallel,far-near,arc,"","","","","","","","",https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//5118--приходить--приходить.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//5118--приходить--приходить.mp4?raw=true' target='_blank'>приходить</a>
согласиться,thumb,"",straight,straight,ulnar,tips,"","",space,horisontal,proxi-distal,arc,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5119--придти к соглашению--придти к соглашению.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5119--придти к соглашению--придти к соглашению.mp4?raw=true' target='_blank'>согласиться</a>
начинать,1-st,"",straight,straight,radial,tips,"","",hand-palm,parallel,low-high,sraight,"","","","","","","","",https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5134--начинать--начинать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5134--начинать--начинать.mp4?raw=true' target='_blank'>начинать</a>
совершать,1-st,"",straight,straight,ulnar,ulnar,pointed,"",hand-palm,horisontal,far-near,sraight,"","","","","",back,"",tense,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//5144--совершать--.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//5144--совершать--.mp4?raw=true' target='_blank'>совершать</a>
общаться,1-st,"",straight,straight,palm,palm,pointed,"",space,horisontal,distal-proxi,sraight,"","","","","","","",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5150--общаться--.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5150--общаться--.mp4?raw=true' target='_blank'>общаться</a>
сопоставлять,1-st,"",straight,straight,back,tips,"","",space,parallel,ipsi-contra,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5175--сопоставлять--сопоставлять.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5175--сопоставлять--сопоставлять.mp4?raw=true' target='_blank'>сопоставлять</a>
думать,1-st,"",straight,straight,palm,tips,wide,"",head-high,horisontal,far-near,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5224--понимать--понимать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5224--понимать--понимать.mp4?raw=true' target='_blank'>думать</a>
